(3,4,5): 	 P(a) = 0.2699 	 P(b) = 0.3373 	 P(c) = 0.3928 
(5,12,13): 	 P(a) = 0.213 	 P(b) = 0.384 	 P(c) = 0.403 
(8,15,17): 	 P(a) = 0.2339 	 P(b) = 0.3679 	 P(c) = 0.3982 
(7,24,25): 	 P(a) = 0.1752 	 P(b) = 0.4032 	 P(c) = 0.4216 
(20,21,29): 	 P(a) = 0.2944 	 P(b) = 0.308 	 P(c) = 0.3976 
(12,35,37): 	 P(a) = 0.1926 	 P(b) = 0.3873 	 P(c) = 0.4201 
(9,40,41): 	 P(a) = 0.151 	 P(b) = 0.4251 	 P(c) = 0.4239 
(28,45,53): 	 P(a) = 0.2581 	 P(b) = 0.3496 	 P(c) = 0.3923 
(11,60,61): 	 P(a) = 0.1327 	 P(b) = 0.4356 	 P(c) = 0.4317 
(16,63,65): 	 P(a) = 0.1617 	 P(b) = 0.4103 	 P(c) = 0.428 
(33,56,65): 	 P(a) = 0.2489 	 P(b) = 0.3585 	 P(c) = 0.3926 
(48,55,73): 	 P(a) = 0.2891 	 P(b) = 0.31 	 P(c) = 0.4009 
(13,84,85): 	 P(a) = 0.1171 	 P(b) = 0.4363 	 P(c) = 0.4466 
(36,77,85): 	 P(a) = 0.2323 	 P(b) = 0.3705 	 P(c) = 0.3972 
(39,80,89): 	 P(a) = 0.2308 	 P(b) = 0.371 	 P(c) = 0.3982 
(65,72,97): 	 P(a) = 0.2903 	 P(b) = 0.3084 	 P(c) = 0.4013 
(20,99,101): 	 P(a) = 0.1432 	 P(b) = 0.4255 	 P(c) = 0.4313 
(60,91,109): 	 P(a) = 0.2594 	 P(b) = 0.3433 	 P(c) = 0.3973 
(15,112,113): 	 P(a) = 0.1077 	 P(b) = 0.4505 	 P(c) = 0.4418 
(44,117,125): 	 P(a) = 0.2033 	 P(b) = 0.3934 	 P(c) = 0.4033 
(88,105,137): 	 P(a) = 0.2881 	 P(b) = 0.3201 	 P(c) = 0.3918 
(17,144,145): 	 P(a) = 0.1059 	 P(b) = 0.4512 	 P(c) = 0.4429 
(24,143,145): 	 P(a) = 0.1273 	 P(b) = 0.4251 	 P(c) = 0.4476 
(51,140,149): 	 P(a) = 0.187 	 P(b) = 0.3877 	 P(c) = 0.4253 
(85,132,157): 	 P(a) = 0.2601 	 P(b) = 0.3536 	 P(c) = 0.3863 
(119,120,169): 	 P(a) = 0.305 	 P(b) = 0.3055 	 P(c) = 0.3895 
(52,165,173): 	 P(a) = 0.1843 	 P(b) = 0.3968 	 P(c) = 0.4189 
(19,180,181): 	 P(a) = 0.095 	 P(b) = 0.4553 	 P(c) = 0.4497 
(57,176,185): 	 P(a) = 0.1844 	 P(b) = 0.3957 	 P(c) = 0.4199 
(104,153,185): 	 P(a) = 0.2582 	 P(b) = 0.3442 	 P(c) = 0.3976 
(95,168,193): 	 P(a) = 0.2376 	 P(b) = 0.3637 	 P(c) = 0.3987 
(28,195,197): 	 P(a) = 0.114 	 P(b) = 0.4359 	 P(c) = 0.4501 
(84,187,205): 	 P(a) = 0.215 	 P(b) = 0.3725 	 P(c) = 0.4125 
(133,156,205): 	 P(a) = 0.2876 	 P(b) = 0.3229 	 P(c) = 0.3895 
(21,220,221): 	 P(a) = 0.0899 	 P(b) = 0.4565 	 P(c) = 0.4536 
(140,171,221): 	 P(a) = 0.2843 	 P(b) = 0.3239 	 P(c) = 0.3918 
(60,221,229): 	 P(a) = 0.1698 	 P(b) = 0.4097 	 P(c) = 0.4205 
(105,208,233): 	 P(a) = 0.2341 	 P(b) = 0.3653 	 P(c) = 0.4006 
(120,209,241): 	 P(a) = 0.2503 	 P(b) = 0.3576 	 P(c) = 0.3921 
(32,255,257): 	 P(a) = 0.104 	 P(b) = 0.4493 	 P(c) = 0.4467 
(23,264,265): 	 P(a) = 0.0845 	 P(b) = 0.4432 	 P(c) = 0.4723 
(96,247,265): 	 P(a) = 0.2 	 P(b) = 0.3869 	 P(c) = 0.4131 
(69,260,269): 	 P(a) = 0.1639 	 P(b) = 0.411 	 P(c) = 0.4251 
(115,252,277): 	 P(a) = 0.2179 	 P(b) = 0.3852 	 P(c) = 0.3969 
(160,231,281): 	 P(a) = 0.2616 	 P(b) = 0.3377 	 P(c) = 0.4007 
(161,240,289): 	 P(a) = 0.2628 	 P(b) = 0.3426 	 P(c) = 0.3946 
(68,285,293): 	 P(a) = 0.1518 	 P(b) = 0.4119 	 P(c) = 0.4363 
